Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,334,102,76.61%
obstacle,436,416,20,95.41%
decision,436,416,20,95.41%
lane:left lane,214,213,1,99.53%
lane:right lane,214,113,101,52.80%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,94,4,95.92%
obstacle:near,78,68,10,87.18%
obstacle:very close,62,56,6,90.32%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,292,4,98.65%
decision:slow cruise,78,68,10,87.18%
decision:switch lane,62,56,6,90.32%
