Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,409,27,93.81%
decision,436,418,18,95.87%
final_decision,436,418,18,95.87%

lane:left lane,214,214,0,100.00%
lane:right lane,214,213,1,99.53%
lane:unclear,8,7,1,87.50%
obstacle:far away,98,84,14,85.71%
obstacle:near,78,73,5,93.59%
obstacle:very close,62,55,7,88.71%
obstacle:not on the same lane,198,197,1,99.49%
decision:straight forward,296,290,6,97.97%
decision:slow cruise,78,73,5,93.59%
decision:switch lane,62,55,7,88.71%
final_decision:straight forward,296,290,6,97.97%
final_decision:slow cruise,78,73,5,93.59%
final_decision:switch lane,62,55,7,88.71%
