Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,330,106,75.69%
obstacle,436,417,19,95.64%
decision,436,351,85,80.50%

lane:left lane,214,214,0,100.00%
lane:right lane,214,109,105,50.93%
lane:unclear,8,7,1,87.50%

obstacle:far away,98,94,4,95.92%
obstacle:near,78,73,5,93.59%
obstacle:very close,62,57,5,91.94%
obstacle:not on the same lane,198,193,5,97.47%

decision:straight forward,296,289,7,97.64%
decision:slow cruise,78,0,78,0.00%
decision:switch lane,62,62,0,100.00%

