Category,Type,Value,Count
lane,ground_truth,left lane,91
lane,ground_truth,right lane,91
lane,ground_truth,unclear,34
lane,model,left lane,84
lane,model,right lane,103
lane,model,unclear,29
obstacle,ground_truth,far away,70
obstacle,ground_truth,near,56
obstacle,ground_truth,very close,14
obstacle,ground_truth,not on the same lane,76
obstacle,model,far away,60
obstacle,model,near,52
obstacle,model,very close,19
obstacle,model,not on the same lane,85
decision,ground_truth,straight forward,146
decision,ground_truth,slow cruise,56
decision,ground_truth,switch lane,14
decision,model,straight forward,146
decision,model,slow cruise,51
decision,model,switch lane,19
final_decision,ground_truth,straight forward,146
final_decision,ground_truth,slow cruise,56
final_decision,ground_truth,switch lane,14
final_decision,model,straight forward,146
final_decision,model,slow cruise,51
final_decision,model,switch lane,19
