Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,205,11,94.91%
obstacle,216,193,23,89.35%
decision,216,194,22,89.81%
final_decision,216,194,22,89.81%

lane:left lane,91,87,4,95.60%
lane:right lane,91,87,4,95.60%
lane:unclear,34,31,3,91.18%
obstacle:far away,70,55,15,78.57%
obstacle:near,56,53,3,94.64%
obstacle:very close,14,9,5,64.29%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,132,14,90.41%
decision:slow cruise,56,53,3,94.64%
decision:switch lane,14,9,5,64.29%
final_decision:straight forward,146,132,14,90.41%
final_decision:slow cruise,56,53,3,94.64%
final_decision:switch lane,14,9,5,64.29%
