Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,206,10,95.37%
obstacle,216,196,20,90.74%
decision,216,198,18,91.67%
final_decision,216,198,18,91.67%

lane:left lane,91,86,5,94.51%
lane:right lane,91,88,3,96.70%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,56,14,80.00%
obstacle:near,56,51,5,91.07%
obstacle:very close,14,13,1,92.86%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,134,12,91.78%
decision:slow cruise,56,51,5,91.07%
decision:switch lane,14,13,1,92.86%
final_decision:straight forward,146,134,12,91.78%
final_decision:slow cruise,56,51,5,91.07%
final_decision:switch lane,14,13,1,92.86%
