Category,Type,Value,Count
lane,ground_truth,left lane,91
lane,ground_truth,right lane,91
lane,ground_truth,unclear,34
obstacle,ground_truth,far away,70
obstacle,ground_truth,near,56
obstacle,ground_truth,very close,14
obstacle,ground_truth,not on the same lane,76
decision,ground_truth,straight forward,146
decision,ground_truth,slow cruise,56
decision,ground_truth,switch lane,14
final_decision,ground_truth,straight forward,146
final_decision,ground_truth,slow cruise,56
final_decision,ground_truth,switch lane,14

lane,model,left lane,84
lane,model,right lane,88
lane,model,unclear,44
obstacle,model,far away,45
obstacle,model,near,74
obstacle,model,very close,12
obstacle,model,not on the same lane,85
decision,model,straight forward,130
decision,model,slow cruise,74
decision,model,switch lane,12
final_decision,model,straight forward,130
final_decision,model,slow cruise,74
final_decision,model,switch lane,12
