Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,204,12,94.44%
obstacle,216,185,31,85.65%
decision,216,194,22,89.81%
final_decision,216,194,22,89.81%

lane:left lane,91,84,7,92.31%
lane:right lane,91,86,5,94.51%
lane:unclear,34,34,0,100.00%
obstacle:far away,70,45,25,64.29%
obstacle:near,56,54,2,96.43%
obstacle:very close,14,10,4,71.43%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,130,16,89.04%
decision:slow cruise,56,54,2,96.43%
decision:switch lane,14,10,4,71.43%
final_decision:straight forward,146,130,16,89.04%
final_decision:slow cruise,56,54,2,96.43%
final_decision:switch lane,14,10,4,71.43%
