Category,Type,Value,Count
lane,ground_truth,left lane,91
lane,ground_truth,right lane,91
lane,ground_truth,unclear,34
obstacle,ground_truth,far away,70
obstacle,ground_truth,near,56
obstacle,ground_truth,very close,14
obstacle,ground_truth,not on the same lane,76
decision,ground_truth,straight forward,146
decision,ground_truth,slow cruise,56
decision,ground_truth,switch lane,14

lane,model,left lane,121
lane,model,right lane,53
lane,model,unclear,42
obstacle,model,far away,71
obstacle,model,near,51
obstacle,model,very close,21
obstacle,model,not on the same lane,73
decision,model,straight forward,144
decision,model,slow cruise,48
decision,model,switch lane,24
