Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,405,31,92.89%
decision,436,409,27,93.81%
final_decision,436,409,27,93.81%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,84,14,85.71%
obstacle:near,78,61,17,78.21%
obstacle:very close,62,62,0,100.00%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,286,10,96.62%
decision:slow cruise,78,61,17,78.21%
decision:switch lane,62,62,0,100.00%
final_decision:straight forward,296,286,10,96.62%
final_decision:slow cruise,78,61,17,78.21%
final_decision:switch lane,62,62,0,100.00%
