Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,436,0,100.00%
obstacle,436,389,47,89.22%
decision,436,403,33,92.43%
final_decision,436,403,33,92.43%

lane:left lane,214,214,0,100.00%
lane:right lane,214,214,0,100.00%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,80,18,81.63%
obstacle:near,78,66,12,84.62%
obstacle:very close,62,45,17,72.58%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,292,4,98.65%
decision:slow cruise,78,66,12,84.62%
decision:switch lane,62,45,17,72.58%
final_decision:straight forward,296,292,4,98.65%
final_decision:slow cruise,78,66,12,84.62%
final_decision:switch lane,62,45,17,72.58%
