Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,385,51,88.30%
decision,436,401,35,91.97%
final_decision,436,401,35,91.97%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,76,22,77.55%
obstacle:near,78,49,29,62.82%
obstacle:very close,62,62,0,100.00%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,290,6,97.97%
decision:slow cruise,78,49,29,62.82%
decision:switch lane,62,62,0,100.00%
final_decision:straight forward,296,290,6,97.97%
final_decision:slow cruise,78,49,29,62.82%
final_decision:switch lane,62,62,0,100.00%
