Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,205,11,94.91%
obstacle,216,187,29,86.57%
decision,216,189,27,87.50%
final_decision,216,189,27,87.50%

lane:left lane,91,86,5,94.51%
lane:right lane,91,88,3,96.70%
lane:unclear,34,31,3,91.18%
obstacle:far away,70,50,20,71.43%
obstacle:near,56,49,7,87.50%
obstacle:very close,14,12,2,85.71%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,128,18,87.67%
decision:slow cruise,56,49,7,87.50%
decision:switch lane,14,12,2,85.71%
final_decision:straight forward,146,128,18,87.67%
final_decision:slow cruise,56,49,7,87.50%
final_decision:switch lane,14,12,2,85.71%
