Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,207,9,95.83%
obstacle,216,185,31,85.65%
decision,216,192,24,88.89%
final_decision,216,192,24,88.89%

lane:left lane,91,87,4,95.60%
lane:right lane,91,86,5,94.51%
lane:unclear,34,34,0,100.00%
obstacle:far away,70,55,15,78.57%
obstacle:near,56,52,4,92.86%
obstacle:very close,14,2,12,14.29%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,138,8,94.52%
decision:slow cruise,56,52,4,92.86%
decision:switch lane,14,2,12,14.29%
final_decision:straight forward,146,138,8,94.52%
final_decision:slow cruise,56,52,4,92.86%
final_decision:switch lane,14,2,12,14.29%
