Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,329,107,75.46%
obstacle,436,410,26,94.04%
decision,436,377,59,86.47%

lane:left lane,214,213,1,99.53%
lane:right lane,214,109,105,50.93%
lane:unclear,8,7,1,87.50%
obstacle:far away,98,94,4,95.92%
obstacle:near,78,61,17,78.21%
obstacle:very close,62,57,5,91.94%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,293,3,98.99%
decision:slow cruise,78,27,51,34.62%
decision:switch lane,62,57,5,91.94%
