Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,336,100,77.06%
obstacle,436,412,24,94.50%
decision,436,412,24,94.50%
lane:left lane,214,213,1,99.53%
lane:right lane,214,115,99,53.74%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,92,6,93.88%
obstacle:near,78,60,18,76.92%
obstacle:very close,62,62,0,100.00%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,290,6,97.97%
decision:slow cruise,78,60,18,76.92%
decision:switch lane,62,62,0,100.00%
