Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,203,13,93.98%
obstacle,216,194,22,89.81%
decision,216,194,22,89.81%
final_decision,216,194,22,89.81%

lane:left lane,91,84,7,92.31%
lane:right lane,91,89,2,97.80%
lane:unclear,34,30,4,88.24%
obstacle:far away,70,60,10,85.71%
obstacle:near,56,45,11,80.36%
obstacle:very close,14,13,1,92.86%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,136,10,93.15%
decision:slow cruise,56,45,11,80.36%
decision:switch lane,14,13,1,92.86%
final_decision:straight forward,146,136,10,93.15%
final_decision:slow cruise,56,45,11,80.36%
final_decision:switch lane,14,13,1,92.86%
