Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,207,9,95.83%
obstacle,216,189,27,87.50%
decision,216,189,27,87.50%
final_decision,216,189,27,87.50%

lane:left lane,91,88,3,96.70%
lane:right lane,91,87,4,95.60%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,48,22,68.57%
obstacle:near,56,51,5,91.07%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,124,22,84.93%
decision:slow cruise,56,51,5,91.07%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,124,22,84.93%
final_decision:slow cruise,56,51,5,91.07%
final_decision:switch lane,14,14,0,100.00%
