Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,435,1,99.77%
obstacle,436,416,20,95.41%
decision,436,416,20,95.41%
final_decision,436,416,20,95.41%

lane:left lane,214,213,1,99.53%
lane:right lane,214,214,0,100.00%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,93,5,94.90%
obstacle:near,78,67,11,85.90%
obstacle:very close,62,58,4,93.55%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,291,5,98.31%
decision:slow cruise,78,67,11,85.90%
decision:switch lane,62,58,4,93.55%
final_decision:straight forward,296,291,5,98.31%
final_decision:slow cruise,78,67,11,85.90%
final_decision:switch lane,62,58,4,93.55%
