Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,168,48,77.78%
obstacle,216,191,25,88.43%
decision,216,150,66,69.44%

lane:left lane,91,87,4,95.60%
lane:right lane,91,48,43,52.75%
lane:unclear,34,33,1,97.06%

obstacle:far away,70,59,11,84.29%
obstacle:near,56,48,8,85.71%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,70,6,92.11%

decision:straight forward,146,136,10,93.15%
decision:slow cruise,56,0,56,0.00%
decision:switch lane,14,14,0,100.00%

