Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,334,102,76.61%
obstacle,436,416,20,95.41%
decision,436,360,76,82.57%

lane:left lane,214,212,2,99.07%
lane:right lane,214,114,100,53.27%
lane:unclear,8,8,0,100.00%

obstacle:far away,98,93,5,94.90%
obstacle:near,78,70,8,89.74%
obstacle:very close,62,57,5,91.94%
obstacle:not on the same lane,198,196,2,98.99%

decision:straight forward,296,291,5,98.31%
decision:slow cruise,78,12,66,15.38%
decision:switch lane,62,57,5,91.94%

